scenario_id,sterile,allow_tregs,allow_tregs_to_suppress_cognate,randomize_tregs
0,0,0,0,0
1,0,1,0,0
2,0,1,0,1
3,1,0,0,0
4,1,1,0,0
5,1,1,0,1
