t,sterile,allow_tregs_to_do_their_job,allow_tregs_to_suppress_cognate,randomize_tregs,epithelial_healthy,epithelial_inj_1,epithelial_inj_2,epithelial_inj_3,epithelial_inj_4,epithelial_inj_5,phagocyte_M0,phagocyte_M1_L_0,phagocyte_M1_L_1,phagocyte_M1_L_2,phagocyte_M1_L_3,phagocyte_M1_L_4,phagocyte_M1_L_5,phagocyte_M2_L_0,phagocyte_M2_L_1,phagocyte_M2_L_2,phagocyte_M2_L_3,phagocyte_M2_L_4,phagocyte_M2_L_5,commensal,pathogen,treg_resting,treg_active,C_ROS,C_Mac,C_M1,C_M2,P_ROS,P_Mac,P_M1,P_M2
461,0,1,False,1,16,0,0,0,4,5,14,0,0,0,0,6,3,0,0,0,0,0,0,37,0,189,30,2280,3417,0,0,546,1957,0,0
462,0,1,False,1,16,0,0,0,4,5,14,0,0,0,0,0,6,0,0,0,0,0,0,36,0,189,30,2288,3429,0,0,549,1965,0,0
463,0,1,False,1,16,0,0,0,3,6,14,0,0,0,0,0,0,0,0,0,0,0,0,36,0,192,27,2293,3443,0,0,551,1974,0,0
464,0,1,False,1,16,0,0,0,5,4,14,0,0,0,0,0,0,0,0,0,0,0,0,33,0,193,26,2304,3455,0,0,554,1982,0,0
465,0,1,False,1,16,0,0,0,4,5,14,0,0,0,0,0,0,0,0,0,0,0,0,35,0,194,25,2311,3465,0,0,556,1990,0,0
466,0,1,False,1,16,0,0,0,5,4,14,0,0,0,0,0,0,0,0,0,0,0,0,34,0,193,26,2316,3480,0,0,557,2000,0,0
467,0,1,False,1,16,0,0,0,1,8,15,0,0,0,0,0,0,0,0,0,0,0,0,35,0,192,27,2323,3491,0,0,560,2007,0,0
468,0,1,False,1,16,0,0,0,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,35,0,191,28,2329,3505,0,0,562,2016,0,0
469,0,1,False,1,16,0,0,0,4,5,15,0,0,0,0,0,0,0,0,0,0,0,0,34,0,191,28,2335,3519,0,0,562,2026,0,0
470,0,1,False,1,16,0,0,0,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,34,0,191,28,2343,3530,0,0,564,2035,0,0
471,0,1,False,1,16,0,0,0,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,191,28,2347,3546,0,0,568,2041,0,0
472,0,1,False,1,16,0,0,0,2,7,15,0,0,0,0,0,0,0,0,0,0,0,0,34,0,191,28,2358,3554,0,0,571,2049,0,0
473,0,1,False,1,15,1,0,0,4,5,15,0,0,0,0,0,0,0,0,0,0,0,0,34,0,190,29,2364,3568,0,0,575,2056,0,0
474,0,1,False,1,15,1,0,0,7,2,15,0,0,0,0,0,0,0,0,0,0,0,0,34,0,190,29,2372,3581,0,0,579,2064,0,0
475,0,1,False,1,16,0,0,0,4,5,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,191,28,2381,3593,0,0,580,2074,0,0
476,0,1,False,1,16,0,0,0,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,191,28,2387,3606,0,0,583,2082,0,0
477,0,1,False,1,16,0,0,0,3,6,17,0,0,0,0,0,0,0,0,0,0,0,0,33,0,190,29,2395,3617,0,0,588,2087,0,0
478,0,1,False,1,16,0,0,0,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,32,0,188,31,2400,3633,0,0,589,2097,0,0
479,0,1,False,1,16,0,0,0,6,3,17,0,0,0,0,0,0,0,0,0,0,0,0,32,0,189,30,2406,3646,0,0,590,2107,0,0
480,0,1,False,1,16,0,0,0,6,3,17,0,0,0,0,0,0,0,0,0,0,0,0,31,0,188,31,2413,3659,0,0,593,2114,0,0
481,0,1,False,1,16,0,0,0,4,5,18,0,0,0,0,0,0,0,0,0,0,0,0,33,0,188,31,2414,3675,0,0,596,2121,0,0
482,0,1,False,1,16,0,0,0,4,5,19,0,0,0,0,0,0,0,0,0,0,0,0,32,0,187,32,2422,3687,0,0,600,2128,0,0
483,0,1,False,1,16,0,0,0,5,4,22,0,0,0,0,0,0,0,0,0,0,0,0,33,0,184,35,2430,3697,0,0,602,2137,0,0
484,0,1,False,1,16,0,0,0,4,5,23,0,0,0,0,0,0,0,0,0,0,0,0,34,0,183,36,2432,3713,0,0,605,2144,0,0
485,0,1,False,1,16,0,0,0,3,6,23,0,0,0,0,0,0,0,0,0,0,0,0,34,0,183,36,2437,3727,0,0,606,2154,0,0
486,0,1,False,1,16,0,0,0,5,4,24,0,0,0,0,0,0,0,0,0,0,0,0,33,0,183,36,2444,3741,0,0,608,2163,0,0
487,0,1,False,1,16,0,0,0,4,5,24,0,0,0,0,0,0,0,0,0,0,0,0,33,0,183,36,2448,3756,0,0,611,2170,0,0
488,0,1,False,1,16,0,0,0,6,3,24,0,0,0,0,0,0,0,0,0,0,0,0,33,0,185,34,2453,3770,0,0,613,2179,0,0
489,0,1,False,1,16,0,0,0,1,8,24,0,0,0,0,0,0,0,0,0,0,0,0,33,0,185,34,2459,3783,0,0,615,2187,0,0
490,0,1,False,1,16,0,0,0,2,7,24,0,0,0,0,0,0,0,0,0,0,0,0,34,0,183,36,2467,3794,0,0,616,2197,0,0
491,0,1,False,1,16,0,0,0,5,4,24,0,0,0,0,0,0,0,0,0,0,0,0,35,0,184,35,2472,3808,0,0,619,2205,0,0
492,0,1,False,1,16,0,0,0,6,3,25,0,0,0,0,0,0,0,0,0,0,0,0,34,0,184,35,2476,3824,0,0,621,2213,0,0
493,0,1,False,1,16,0,0,0,5,4,26,0,0,0,0,0,0,0,0,0,0,0,0,35,0,184,35,2482,3836,0,0,622,2222,0,0
494,0,1,False,1,16,0,0,0,4,5,26,0,0,0,0,0,0,0,0,0,0,0,0,36,0,182,37,2488,3848,0,0,624,2230,0,0
495,0,1,False,1,16,0,0,0,6,3,26,0,0,0,0,0,0,0,0,0,0,0,0,37,0,184,35,2494,3860,0,0,624,2241,0,0
496,0,1,False,1,16,0,0,0,4,5,26,0,15,1,0,0,0,0,0,0,0,0,0,37,0,185,34,2500,3873,0,0,626,2249,0,0
497,0,1,False,1,16,0,0,0,6,3,26,0,15,15,1,0,0,0,0,0,0,0,0,37,0,183,36,2507,3885,0,0,629,2257,0,0
498,0,1,False,1,16,0,0,0,4,5,26,0,10,15,15,1,0,0,0,0,0,0,0,34,0,184,35,2516,3898,0,0,634,2262,0,0
499,0,1,False,1,16,0,0,0,5,4,24,0,17,12,15,15,1,0,0,0,0,0,0,32,0,184,35,2524,3911,0,0,637,2270,0,0
